strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
Between The Sheets,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Light rum Triple sec Lemon juice           ,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
Bible Belt,Alcoholic,Other/Unknown,Highball glass,Southern Comfort Triple sec Lime Sour mix           ,"Mix all ingredients, and pour over ice."
Big Red,Alcoholic,Shot,Shot glass,Irish cream Goldschlager             ,Pour ingredients into 1 ounce shot glass
Black & Tan,Alcoholic,Beer,Pint glass,Ale Guinness stout             ,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.
Black Forest Shake,Alcoholic,Milk / Float / Shake,Collins Glass,Ice Chocolate syrup Cherry brandy Vodka Milk          ,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."
Black Russian,Alcoholic,Ordinary Drink,Old-fashioned glass,Coffee liqueur Vodka             ,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.
Black and Brown,Alcoholic,Beer,Beer pilsner,Guinness stout Root beer             ,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.
Blackthorn,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Sloe gin Lemon peel            ,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Bleeding Surgeon,Alcoholic,Soft Drink / Soda,Collins glass,Dark rum Orange Surge Cranberry juice           ,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass."
Blind Russian,Alcoholic,Milk / Float / Shake,Collins glass,Bailey's irish cream Godiva liqueur Kahlua Butterscotch schnapps Milk          ,Fill glass with ice. Add all liquers. Add milk. shake.
Bloody Maria,Alcoholic,Ordinary Drink,Old-fashioned glass,Tequila Tomato juice Lemon juice Tabasco sauce Celery salt Lemon         ,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.
Bloody Mary,Alcoholic,Ordinary Drink,Old-fashioned glass,Vodka Tomato juice Lemon juice Worcestershire sauce Tabasco sauce Lime         ,"Stirring gently, pour all ingredients into highball glass. Garnish."
Blue Lagoon,Alcoholic,Ordinary Drink,Highball glass,Vodka Blue Curacao Lemonade Cherry           ,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve."
Blue Margarita,Alcoholic,Ordinary Drink,Cocktail glass,Tequila Blue Curacao Lime juice Salt           ,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve."
Blue Mountain,Alcoholic,Ordinary Drink,Old-fashioned glass,Añejo rum Tia maria Vodka Orange juice Lemon juice          ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes."
Bluebird,Alcoholic,Ordinary Drink,Cocktail glass,Gin Triple sec Blue Curacao Bitters Maraschino cherry Lemon peel         ,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
Bob Marley,Alcoholic,Shot,Shot glass,Midori melon liqueur Jägermeister Goldschlager            ,Layer in a 2 oz shot glass or pony glass
Bobby Burns Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Scotch Benedictine Lemon peel           ,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Boomerang,Alcoholic,Ordinary Drink,Cocktail glass,Gin Dry Vermouth Bitters Maraschino liqueur Maraschino cherry          ,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,Mason jar,Vanilla Ice-Cream Milk Godiva liqueur Whipped Cream caramel sauce chocolate sauce Mini-snickers bars        ,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream."
Bora Bora,Non alcoholic,Cocktail,Highball glass,Pineapple juice Passion fruit juice Lemon juice Grenadine           ,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Boston Sidecar,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Brandy Triple sec Lime           ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Boston Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Blended whiskey Lemon Powdered sugar Egg white Lemon Cherry         ,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
Bourbon Sling,Alcoholic,Ordinary Drink,Highball glass,Sugar Water Lemon juice Bourbon Lemon peel          ,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist."
Bourbon Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Bourbon Lemon juice Sugar Orange Maraschino cherry          ,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry."
Boxcar,Alcoholic,Ordinary Drink,Whiskey sour glass,Gin Triple sec Lemon juice Grenadine Egg white          ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Brain Fart,Alcoholic,Punch / Party Drink,Punch bowl,Everclear Vodka Mountain Dew Surge Lemon juice Rum         ,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
Brainteaser,Alcoholic,Shot,Shot Glass,Sambuca Erin Cream Advocaat            ,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw."
Bramble,Alcoholic,Ordinary Drink,Old-Fashioned glass,Gin lemon juice Sugar syrup Creme de Mure           ,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,Beer mug,Vanilla ice-cream Coca-Cola Bourbon            ,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy."
Brandy Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Creme de Cacao Light cream Nutmeg           ,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Brandy Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,Sugar Club soda Lemon Brandy Maraschino cherry Orange         ,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices."
Brandy Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,Brandy Egg Sugar Light cream Nutmeg          ,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg."
Brandy Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Brandy Lemon Powdered sugar Lemon Cherry          ,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve."
Brave Bull Shooter,Alcoholic,Shot,Shot glass,Tequila Tabasco sauce             ,Pour Tabasco into bottom of shot glass and fill with tequila.
Bruce's Puce,Alcoholic,Shot,Shot glass,Grenadine Kahlua Bailey's irish cream            ,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)"
Bruised Heart,Alcoholic,Shot,Shot glass,Vodka Chambord raspberry liqueur Peachtree schnapps Cranberry juice           ,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass"
Bubble Gum,Alcoholic,Shot,Shot glass,Vodka Banana liqueur Orange juice Peach schnapps           ,Layer in order into a shot glass.
Buccaneer,Alcoholic,Beer,Beer pilsner,Corona Bacardi Limon             ,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
Bumble Bee #1,Alcoholic,Shot,Shot glass,Bailey's irish cream Kahlua Sambuca            ,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
Butter Baby,Alcoholic,Milk / Float / Shake,Beer mug,Vanilla Ice-Cream Butterscotch schnapps Milk Vodka           ,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.
Cafe Savoy,Alcoholic,Coffee / Tea,Coffee mug,Coffee Milk Triple sec Brandy           ,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
Caipirinha,Alcoholic,Ordinary Drink,Old-fashioned glass,Sugar Lime Cachaca            ,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
Caipirissima,Alcoholic,Ordinary Drink,Collins Glass,Lime Sugar White rum Ice           ,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!
California Lemonade,Alcoholic,Ordinary Drink,Collins glass,Blended whiskey Lemon Lime Powdered sugar Grenadine Carbonated water         ,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.
California Root Beer,Alcoholic,Soft Drink / Soda,Highball glass,Kahlua Galliano Soda water            ,Put Kahlua and Galliano in highball glass fill with soda
Campari Beer,Alcoholic,Beer,Beer mug,Lager Campari             ,Use a 15 oz glass. Add Campari first. Fill with beer.
Caribbean Boilermaker,Alcoholic,Beer,Beer pilsner,Corona Light rum             ,Pour the Corona into an 18oz beer glass pour the rum into the beer.
Caribbean Orange Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,Orange Vodka Sugar            ,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age."
Casino,Alcoholic,Ordinary Drink,Cocktail glass,Gin Maraschino liqueur Lemon juice Orange bitters Cherry          ,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
Casino Royale,Alcoholic,Ordinary Drink,Whiskey sour glass,Gin Lemon juice Maraschino liqueur Orange bitters Egg yolk          ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Castillian Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,Cocoa powder Sugar Cornstarch Water Milk          ,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six."
Champagne Cocktail,Alcoholic,Ordinary Drink,Champagne flute,Champagne Sugar Bitters Lemon peel Cognac          ,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.
Cherry Electric Lemonade,,Cocktail,Pint glass,Gin Tequila Vodka White rum Triple Sec Cherry Grenadine Sweet and sour Club soda       ,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
Cherry Rum,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Cherry brandy Light cream            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Chicago Fizz,Alcoholic,Ordinary Drink,Highball glass,Light rum Port Lemon Powdered sugar Egg white Carbonated water         ,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Chocolate Beverage,Non alcoholic,Cocoa,Coffee mug,Milk Chocolate Cinnamon Egg           ,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight."
Chocolate Black Russian,Alcoholic,Ordinary Drink,Champagne flute,Kahlua Vodka Chocolate ice-cream            ,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.
Chocolate Drink,Non alcoholic,Cocoa,Coffee mug,Chocolate Milk Water            ,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
Chocolate Milk,Alcoholic,Shot,Shot Glass,Chocolate liqueur Milk Amaretto            ,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!"
Chocolate Monkey,Optional alcohol,Milk / Float / Shake,Parfait glass,Banana liqueur Creme de Cacao Chocolate ice-cream Chocolate syrup Chocolate milk Whipped cream Cherry Banana       ,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry."
Citrus Coke,Alcoholic,Soft Drink / Soda,Highball Glass,Bacardi Limon Coca-Cola             ,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!
City Slicker,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Triple sec Lemon juice            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Classic Old-Fashioned,Alcoholic,Ordinary Drink,Old-fashioned glass,Bitters Water Sugar Bourbon Orange Maraschino cherry         ,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick."
Clove Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Sweet Vermouth Sloe gin Wine            ,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Clover Club,Alcoholic,Ordinary Drink,Cocktail glass,Gin Grenadine Lemon Egg white           ,"Dry shake ingredients to emulsify, add ice, shake and served straight up."
Coffee Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,Coffee Vanilla extract Sugar Vodka Water          ,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks."
Coffee-Vodka,Alcoholic,Homemade Liqueur,Collins Glass,Water Sugar Coffee Vanilla Vodka Caramel coloring         ,"Boil water and sugar until dissolved. Turn off heat. Slowly add dry instant coffee and continue stirring. Add a chopped vanilla bean to the vodka, then combine the cooled sugar syrup and coffee solution with the vodka. Cover tightly and shake vigorously each day for 3 weeks. Strain and filter. Its also best to let the sugar mixture cool completely so the vodka won't evaporate when its added. If you like a smoother feel to the liqueur you can add about 1 teaspoon of glycerine to the finished product."
Coke and Drops,Non alcoholic,Soft Drink / Soda,Cocktail glass,Coca-Cola Lemon juice             ,"Take a glass, pour the Coke in the glass, then you take 7 drops of lemon juice. Granish with a lemon slice on the rim of the glass."
Cosmopolitan,Alcoholic,Cocktail,Cocktail glass,Absolut Citron Lime juice Cointreau Cranberry juice           ,Add all ingredients into cocktail shaker filled with ice. Shake well and double strain into large cocktail glass. Garnish with lime wheel.
Cosmopolitan Martini,Alcoholic,Cocktail,Cocktail Glass,Cointreau Vodka Lime Cranberry juice           ,"Pour all ingredients in mixing glass half filled with ice, shake and strain into chilled Martini glass."
Cranberry Cordial,Alcoholic,Homemade Liqueur,Collins Glass,Cranberries Sugar Light rum            ,"Place the chopped cranberries in a 2 liter jar that has a tight-fitting lid. Add the sugar and rum. Adjust the lid securely and place the jar in a cool, dark place. Invert the jar and shake it every day for six weeks. Strain the cordial into bottles and seal with corks."
Cranberry Punch,Non alcoholic,Punch / Party Drink,Punch Bowl,Cranberry juice Sugar Pineapple juice Almond flavoring Ginger ale          ,"Combine first four ingredients. Stir until sugar is dissolved, chill. Then add ginger ale just before serving. Add ice ring to keep punch cold."
Cream Soda,Alcoholic,Cocktail,Highball glass,Spiced rum Ginger ale             ,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.
Creme de Menthe,Alcoholic,Homemade Liqueur,Collins Glass,Sugar Water Grain alcohol Peppermint extract Food coloring          ,Bring sugar and water to a boil and simmer for 10 minutes. Cool. Add the remaining ingredients and stir. Cover and let ripen for 1 month.
Cuba Libra,Alcoholic,Ordinary Drink,Highball glass,Dark rum Lime Coca-Cola Ice           ,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!
Cuba Libre,Alcoholic,Ordinary Drink,Highball glass,Light rum Lime Coca-Cola            ,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.
Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Lime Powdered sugar            ,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Damned if you do,Alcoholic,Shot,Shot glass,Whiskey Hot Damn             ,Pour into shot glass. Put in mouth. Repeat as deemed necessary.
Danbooka,Alcoholic,Coffee / Tea,Coffee Mug,Coffee Everclear             ,pour it in and mix it.
Dark Caipirinha,Alcoholic,Cocktail,Highball glass,demerara Sugar Lime Cachaca            ,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well."
Dark and Stormy,Alcoholic,Ordinary Drink,Highball glass,Dark Rum Ginger Beer             ,In a highball glass filled with ice add 6cl dark rum and top with ginger beer. Garnish with lime wedge.
Darkwood Sling,Alcoholic,Soft Drink / Soda,Cocktail glass,Cherry Heering Soda water Orange juice Ice           ,"There are many good cherry liqueurs you can use, but I prefere Heering. Add one share of the liqueur. Then you add one share of Soda. For a sour sling use Tonic (most people prefer the drink without Tonic). Afterwards you fill the glass with Orange Juice and ice cubes."
Derby,Alcoholic,Ordinary Drink,Cocktail glass,gin Peach Bitters Mint            ,Pour all ingredients into a mixing glass with ice. Stir. Strain into a cocktail glass. Garnish with a sprig of fresh mint in the drink.
Diesel,Alcoholic,Beer,Pint glass,Lager Cider Blackcurrant cordial            ,Pour the lager first then add the blackcurrant cordial. Top up with the cider. The colour sholud be very dark approaching the colour of Guiness.
Dirty Martini,Alcoholic,Cocktail,Cocktail glass,Vodka Dry Vermouth Olive Brine Lemon Olive          ,"Pour the vodka, dry vermouth and olive brine into a cocktail shaker with a handful of ice and shake well.
Rub the rim of a martini glass with the wedge of lemon.
Strain the contents of the cocktail shaker into the glass and add the olive.
A dirty Martini contains a splash of olive brine or olive juice and is typically garnished with an olive."
Dirty Nipple,Alcoholic,Shot,Shot glass,Kahlua Sambuca Bailey's irish cream            ,This is a layered shot - the Bailey's must be on top
Downshift,Alcoholic,Punch / Party Drink,Hurricane glass,Fruit punch Sprite Tequila 151 proof rum           ,"Start with the Sprite. Next comes the tequila. After that, add the Minute Maid Fruit Punch, then float the 151. Rocks optional."
Dragonfly,Alcoholic,Ordinary Drink,Highball glass,Gin Ginger ale Lime            ,"In a highball glass almost filled with ice cubes, combine the gin and ginger ale. Stir well. Garnish with the lime wedge."
Drinking Chocolate,Non alcoholic,Cocoa,Coffee mug,Heavy cream Milk Cinnamon Vanilla Chocolate Whipped cream         ,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug."
Dry Rob Roy,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Dry Vermouth Lemon peel            ,"In a mixing glass half-filled with ice cubes, combine the Scotch and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
Dubonnet Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Dubonnet Rouge Gin Bitters Lemon peel           ,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Duchamp's Punch,Alcoholic,Cocktail,Old-fashioned glass,Pisco Lime Juice Pineapple Syrup St. Germain Angostura Bitters Pepper Lavender        ,"Shake all ingredients.
Double strain in a chilled double old fashioned glass with abig ice cube.
Garnish with a couple of lavender sprigs"
Egg Cream,Non alcoholic,Other/Unknown,Coffee mug,Chocolate syrup Milk Soda water            ,"Mix syrup and milk in a fountain glass. Add soda water, serve with a straw."
Egg Nog #4,Optional alcohol,Punch / Party Drink,Punch bowl,Egg yolk Sugar Milk Light rum Bourbon Vanilla extract Salt Whipping cream Egg white Sugar Nutmeg    ,"In a small mixer bowl beat egg yolks till blended. Gradually add 1/4 cup sugar, beating at high speed till thick and lemon colored. Stir in milk, stir in rum, bourbon, vanilla, and salt. Chill thoroughly. Whip cream. Wash beaters well. In a large mixer bowl beat egg whites till soft peaks form. Gradually add remaining 1/4 cup sugar, beating to stiff peaks. Fold yolk mixture and whipped cream into egg whites. Serve immediately. Sprinkle nutmeg over each serving. Serve in a punch bowl or another big bowl. NOTE: For a nonalcoholic eggnog, prepare Eggnog as above, except omit the bourbon and rum and increase the milk to 3 cups."
Egg Nog - Healthy,Optional alcohol,Punch / Party Drink,Collins Glass,Egg Sugar Condensed milk Milk Vanilla extract Rum Nutmeg        ,"Whip egg substitute and sugar together, combine with the two kinds of milk, vanilla, and rum. Mix well. Chill over night. Sprinkle with nutmeg. Makes 6 servings."
Egg-Nog - Classic Cooked,Optional alcohol,Punch / Party Drink,Pitcher,Egg Sugar Salt Milk Vanilla extract          ,"In large saucepan, beat together eggs, sugar and salt, if desired. Stir in 2 cups of the milk. Cook over low heat, stirring constantly, until mixture is thick enough to coat a metal spoon and reaches 160 degrees F. Remove from heat. Stir in remaining 2 cups milk and vanilla. Cover and regfigerate until thoroughly chilled, several hours or overnight. Just before serving, pour into bowl or pitcher. Garnish or add stir-ins, if desired. Choose 1 or several of: Chocolate curls, cinnamon sticks, extracts of flavorings, flavored brandy or liqueur, fruit juice or nectar, ground nutmeg, maraschino cherries, orange slices, peppermint sticks or candy canes, plain brandy, run or whiskey, sherbet or ice-cream, whipping cream, whipped. Serve immediately."
English Highball,Alcoholic,Ordinary Drink,Highball glass,Brandy Gin Sweet Vermouth Carbonated water Lemon peel          ,"Pour brandy, gin, and sweet vermouth into a highball glass over ice cubes. Fill with carbonated water. Add the twist of lemon peel, stir, and serve. (Ginger ale may be substituted for carbonated water, if preferred.)"
English Rose Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Apricot brandy Gin Dry Vermouth Grenadine Lemon juice Cherry         ,Rub rim of cocktail glass with lemon juice and dip rim of glass in powdered sugar. Shake all ingredients (except cherry) with ice and strain into sugar-rimmed glass. Top with the cherry and serve.
Espresso Martini,Alcoholic,Cocktail,Cocktail glass,Vodka Kahlua Sugar syrup            ,"Pour ingredients into shaker filled with ice, shake vigorously, and strain into chilled martini glass"
Fahrenheit 5000,Alcoholic,Shot,Shot glass,Firewater Absolut Peppar Tabasco sauce            ,Cover bottom of shot glass with Tabasco Sauce and then fill with half Firewater and half Absolut Peppar.
Flaming Dr. Pepper,Alcoholic,Shot,Collins Glass,Amaretto Vodka 151 proof rum Dr. Pepper Beer          ,"Add Amaretto, Bacardi, and vodka. Mix in the Dr. Pepper and beer"
Flaming Lamborghini,Alcoholic,Cocktail,Cocktail glass,Kahlua Sambuca Blue Curacao Bailey's irish cream           ,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!"
Flander's Flake-Out,Alcoholic,Ordinary Drink,Collins Glass,Sambuca Sarsaparilla             ,Bang 'em both in.
Flying Dutchman,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Triple sec             ,"In an old-fashioned glass almost filled with ice cubes, combine the gin and triple sec. Stir well."
Flying Scotchman,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Sweet Vermouth Bitters Sugar syrup           ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Foxy Lady,Alcoholic,Ordinary Drink,Cocktail glass,Amaretto Creme de Cacao Light cream            ,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Frappé,Non alcoholic,Coffee / Tea,Highball Glass,Coffee Milk Sugar            ,"Mix together. Blend at highest blender speed for about 1 minute. Pour into a glass and drink with a straw. Notes: This works best if everything is cold (if you make fresh coffee, mix it with the milk and let it sit in the fridge for 1/2 hour. If it is not frothy, add more milk, or even just some more milk powder. The froth gradually turns to liquid at the bottom of the glass, so you will find that you can sit and drink this for about 1/2 hour, with more iced coffee continually appearing at the bottom. Very refreshing."
Freddy Kruger,Alcoholic,Shot,Shot glass,Jägermeister Sambuca Vodka            ,make it an ample size shot!!
"French ""75""",Alcoholic,Ordinary Drink,Collins glass,Gin Sugar Lemon juice Champagne Orange Maraschino cherry         ,"In a shaker half-filled with ice cubes, combine the gin, sugar, and lemon juice. Shake well. Pour into a collins glass. Top with the Champagne. Stir well and garnish with the orange slice and the cherry."
French 75,Alcoholic,Ordinary Drink,Collins glass,Gin Sugar Lemon juice Champagne Orange Maraschino cherry         ,"Combine gin, sugar, and lemon juice in a cocktail shaker filled with ice. Shake vigorously and strain into a chilled champagne glass. Top up with Champagne. Stir gently."
French Connection,Alcoholic,Ordinary Drink,Old-fashioned glass,Cognac Amaretto             ,Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
French Martini,Alcoholic,Cocktail,Cocktail glass,Vodka Raspberry Liqueur pineapple juice            ,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.
Frisco Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Blended whiskey Benedictine Lemon Lime Lemon Lime         ,Shake all ingredients (except slices of lemon and lime) with ice and strain into a whiskey sour glass. Decorate with the slices of lemon and lime and serve.
Frozen Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,Light rum Triple sec Lime juice Sugar Cherry Ice         ,"Combine all ingredients (except for the cherry) in an electric blender and blend at a low speed for five seconds, then blend at a high speed until firm. Pour contents into a champagne flute, top with the cherry, and serve."
Frozen Mint Daiquiri,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Lime juice Mint Sugar           ,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
Frozen Pineapple Daiquiri,Alcoholic,Ordinary Drink,Champagne flute,Light rum Pineapple Lime juice Sugar           ,Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.
