strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
Between The Sheets,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/of1rj41504348346.jpg,Cocktail glass,Brandy,1 oz ,Light rum,1 oz ,Triple sec,1 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour all ingredients into shaker with ice cubes, shake, strain into chilled cocktail glass."
Bible Belt,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Highball glass,Southern Comfort,2 oz ,Triple sec,1/2 oz ,Lime,2 wedges ,Sour mix,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Mix all ingredients, and pour over ice."
Big Red,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot glass,Irish cream,1/2 oz ,Goldschlager,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour ingredients into 1 ounce shot glass
Black & Tan,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,Pint glass,Ale,1 part Bass pale ,Guinness stout,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.
Black Forest Shake,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/xxtxsu1472720505.jpg,Collins Glass,Ice," cubes
",Chocolate syrup,"
",Cherry brandy,"
",Vodka,"
",Milk,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,"In a blender put ice cubes, chocolate syrup, cherry brandy, vodka, and milk. Blend very well."
Black Russian,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2k5gbb1504367689.jpg,Old-fashioned glass,Coffee liqueur,3/4 oz ,Vodka,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour the ingredients into an old fashioned glass filled with ice cubes. Stir gently.
Black and Brown,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/wwuvxv1472668899.jpg,Beer pilsner,Guinness stout,2-Jan,Root beer,2-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,CAREFULLY to avoid explosive head formation: Pour Beer glass half full of favorite rootbeer and top off with Guinness.
Blackthorn,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Cocktail glass,Sweet Vermouth,1 oz ,Sloe gin,1 1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Bleeding Surgeon,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/usuvvr1472719118.jpg,Collins glass,Dark rum,1 shot ,Orange,1 slice ,Surge,1/2 glass ,Cranberry juice,1/2 glass ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour Shot of Rum over slice of orange. Fill the remaining space in glass half way full of surge or similar drink. Finish off glass with cranberry juice. Be carefull, warm surge may foam over the glass."
Blind Russian,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/wxuqvr1472720408.jpg,Collins glass,Bailey's irish cream,3/4 oz ,Godiva liqueur,3/4 oz ,Kahlua,3/4 oz ,Butterscotch schnapps,1/2 oz ,Milk," to fill
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,Fill glass with ice. Add all liquers. Add milk. shake.
Bloody Maria,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yz0j6z1504389461.jpg,Old-fashioned glass,Tequila,1 oz ,Tomato juice,2 oz ,Lemon juice,1 dash ,Tabasco sauce,1 dash ,Celery salt,1 dash ,Lemon,1 slice ,, ,, ,, ,, ,, ,,,,,,,,,Shake all ingredients (except lemon slice) with cracked ice and strain into an old-fashioned glass over ice cubes. Add the slice of lemon and serve.
Bloody Mary,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uyquuu1439906954.jpg,Old-fashioned glass,Vodka,1 1/2 oz ,Tomato juice,3 oz ,Lemon juice,1 dash ,Worcestershire sauce,1/2 tsp ,Tabasco sauce,2-3 drops ,Lime,1 wedge ,, ,, ,, ,, ,, ,,,,,,,,,"Stirring gently, pour all ingredients into highball glass. Garnish."
Blue Lagoon,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vak0e51504389504.jpg,Highball glass,Vodka,1 oz ,Blue Curacao,1 oz ,Lemonade,"
",Cherry,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,"Pour vodka and curacao over ice in a highball glass. Fill with lemonade, top with the cherry, and serve."
Blue Margarita,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qtvvyq1439905913.jpg,Cocktail glass,Tequila,1 1/2 oz ,Blue Curacao,1 oz ,Lime juice,1 oz ,Salt,Coarse ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Rub rim of cocktail glass with lime juice. Dip rim in coarse salt. Shake tequila, blue curacao, and lime juice with ice, strain into the salt-rimmed glass, and serve."
Blue Mountain,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vsxssp1441209853.jpg,Old-fashioned glass,Añejo rum,1 1/2 oz ,Tia maria,1/2 oz ,Vodka,1/2 oz ,Orange juice,1 oz ,Lemon juice,1 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into an old-fashioned glass alomst filled with ice cubes."
Bluebird,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxypsq1441209971.jpg,Cocktail glass,Gin,1 1/2 oz ,Triple sec,1/2 oz ,Blue Curacao,1/2 oz ,Bitters,2 dashes ,Maraschino cherry,1,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry."
Bob Marley,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot glass,Midori melon liqueur,1/2 oz ,Jägermeister,1/2 oz ,Goldschlager,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Layer in a 2 oz shot glass or pony glass
Bobby Burns Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/km6se51484411608.jpg,Cocktail glass,Sweet Vermouth,1 1/2 oz ,Scotch,1 1/2 oz ,Benedictine,1 1/4 tsp ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Stir all ingredients (except lemon peel) with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.
Boomerang,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Cocktail glass,Gin,2 oz ,Dry Vermouth,1/2 oz ,Bitters,2 dashes ,Maraschino liqueur,1/2 tsp ,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry."
Boozy Snickers Milkshake,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/861tzm1504784164.jpg,Mason jar,Vanilla Ice-Cream,3 cups ,Milk,1 cup ,Godiva liqueur,1/2 cup ,Whipped Cream,for topping,caramel sauce,"4 tablespoons
",chocolate sauce,"4 tablespoons
",Mini-snickers bars,"15
",,,,,,,,,,,,,,,,,"Place the snickers bars in a plastic bag and roll over them with a rolling pin until crushed. Add crushed snickers pieces, ice cream, milk, caramel sauce, chocolate sauce, and chocolate liquor to a blender. Blend until shake is thick and frothy. Pour into glasses and top with chocolate liquor and whip cream."
Bora Bora,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Highball glass,Pineapple juice,10 cl ,Passion fruit juice,6 cl ,Lemon juice,1 cl ,Grenadine,1 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry."
Boston Sidecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qzs5d11504365962.jpg,Cocktail glass,Light rum,3/4 oz ,Brandy,3/4 oz ,Triple sec,3/4 oz ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Boston Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Whiskey sour glass,Blended whiskey,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1,Lemon,1 slice ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve."
Bourbon Sling,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3s36ql1504366260.jpg,Highball glass,Sugar,1 tsp superfine ,Water,2 tsp ,Lemon juice,1 oz ,Bourbon,2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain well. Strain into a highball glass. Garnish with the lemon twist."
Bourbon Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dms3io1504366318.jpg,Whiskey sour glass,Bourbon,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass, garnish with the orange slice and cherry."
Boxcar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Whiskey sour glass,Gin,1 1/2 oz ,Triple sec,1 oz ,Lemon juice,1 tsp ,Grenadine,1/2 tsp ,Egg white,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Brain Fart,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch bowl,Everclear,1 fifth ,Vodka,1 fifth Smirnoff red label ,Mountain Dew,2 L ,Surge,2 L ,Lemon juice,1 small bottle ,Rum,1 pint ,, ,, ,, ,, ,, ,,,,,,,,,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.
Brainteaser,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/ruywtq1461866066.jpg,Shot Glass,Sambuca,30 ml white ,Erin Cream,30 ml ,Advocaat,5 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"layered erin first, then sambuca and then avocart(should sit in middle of other two. To drink: use a straw to suck up avocart then shot the rest and then suck fumes up through straw."
Bramble,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Old-Fashioned glass,Gin,4 cl,lemon juice,1.5 cl,Sugar syrup,1 cl,Creme de Mure,1.5 cl,,,, ,, ,,,,,,,,,,,,,,,,,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice."
Brandon and Will's Coke Float,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/xspxyr1472719185.jpg,Beer mug,Vanilla ice-cream,2 scoops ,Coca-Cola,1 can ,Bourbon,2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Scoop two large scoops of vanilla ice-cream into frosted beer mug. Next, add 2 ounces Maker's Mark. Then, pour in coke. Gently stir and enjoy."
Brandy Alexander,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvqxvr1483387746.jpg,Cocktail glass,Brandy,1 oz ,Creme de Cacao,1 oz white ,Light cream,1 oz ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.
Brandy Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vtvutr1439465836.jpg,Old-fashioned glass,Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1,Brandy,2 oz ,Maraschino cherry,1,Orange,1,, ,, ,, ,, ,, ,,,,,,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices."
Brandy Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Whiskey sour glass,Brandy,2 oz ,Egg,1 whole ,Sugar,1 tsp superfine ,Light cream,1/2 oz ,Nutmeg,1/8 tsp grated ,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg."
Brandy Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tu0mts1504366540.jpg,Whiskey sour glass,Brandy,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"Shake brandy, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with the lemon slice, top with the cherry, and serve."
Brave Bull Shooter,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/yrtypx1473344625.jpg,Shot glass,Tequila,1/2 oz ,Tabasco sauce,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour Tabasco into bottom of shot glass and fill with tequila.
Bruce's Puce,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/svsvqv1473344558.jpg,Shot glass,Grenadine,"
",Kahlua,"
",Bailey's irish cream,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,,,"In a regular-sized shot glass, layer, with a spoon or cherry, the grenadine , the Kahlua , then the Bailey's Irish cream in equal portions. It goes down really smooth ,and you don't even need a chaser. It tastes just like chocolate milk.(Really!)"
Bruised Heart,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7if5kq1503564209.jpg,Shot glass,Vodka,1/2 oz ,Chambord raspberry liqueur,1/2 oz ,Peachtree schnapps,1/2 oz ,Cranberry juice,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Pour all ingredients in a mixing tin over ice, stir, and strain into shot glass"
Bubble Gum,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot glass,Vodka,4-Jan,Banana liqueur,4-Jan,Orange juice,4-Jan,Peach schnapps,4-Jan,, ,, ,, ,, ,, ,,,,,,,,,,,,,Layer in order into a shot glass.
Buccaneer,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer pilsner,Corona,1,Bacardi Limon,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently
Bumble Bee #1,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg,Shot glass,Bailey's irish cream,1/3 oz ,Kahlua,1/3 oz ,Sambuca,1/3 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!"
Butter Baby,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/1xhjk91504783763.jpg,Beer mug,Vanilla Ice-Cream,2 scoops ,Butterscotch schnapps,1 part ,Milk,full glass ,Vodka,2 parts ,,"
",,"
",,"
",,,,,,,,,,,,,,,,,Blend together in a blender. Serve in a chilled Beer mug with Fresh Blueberries and caramel for topping.
Cafe Savoy,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg,Coffee mug,Coffee,"
",Milk,1/2 oz ,Triple sec,1/2 oz ,Brandy, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir."
Caipirinha,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xyrppt1469090521.jpg,Old-fashioned glass,Sugar,2 tsp,Lime,1,Cachaca,2 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.
Caipirissima,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg,Collins Glass,Lime,2,Sugar,2 tblsp ,White rum,2-3 oz ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!
California Lemonade,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qvvxwy1472406424.jpg,Collins glass,Blended whiskey,2 oz ,Lemon,Juice of 1 ,Lime,Juice of 1 ,Powdered sugar,1 tblsp ,Grenadine,1/4 tsp ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,Shake all ingredients (except carbonated water) with ice and strain into a collins glass over shaved ice. Fill with carbonated water and stir. Decorate with slices of orange and lemon. Add the cherry and serve with a straw.
California Root Beer,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/rsxuyr1472719526.jpg,Highball glass,Kahlua,3/4 oz ,Galliano,3/4 oz ,Soda water,Fill with ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Put Kahlua and Galliano in highball glass fill with soda
Campari Beer,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg,Beer mug,Lager,1 bottle ,Campari,1 1/2 cl ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Use a 15 oz glass. Add Campari first. Fill with beer.
Caribbean Boilermaker,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/svsxsv1454511666.jpg,Beer pilsner,Corona,1 bottle ,Light rum,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour the Corona into an 18oz beer glass pour the rum into the beer.
Caribbean Orange Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/qwxuwy1472667570.jpg,Collins Glass,Orange,3 large ,Vodka,3 cups ,Sugar,1 1/3 cup superfine ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pare very thinly the bright-colored rind from the oranges (no white). Blot the peel on paper towels to remove any excess oil. Put peel in a 4 cup screw-top jar. Add 2 cups vodka. Close jar. Store in a cool, dark place for 2 days or until the vodka has absorbed the flavor. Remove peel and add remaining vodka. Close jar and add remaining cup of vodka. Close the jar and store in a cool dark place at least 1 month to age."
Casino,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg,Cocktail glass,Gin,2 oz ,Maraschino liqueur,1/4 tsp ,Lemon juice,1/4 tsp ,Orange bitters,2 dashes ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.
Casino Royale,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3qpv121504366699.jpg,Whiskey sour glass,Gin,2 oz ,Lemon juice,1/2 oz ,Maraschino liqueur,1 tsp ,Orange bitters,1 dash ,Egg yolk,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass."
Castillian Hot Chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/3nbu4a1487603196.jpg,Coffee mug,Cocoa powder,1/2 cup ,Sugar,1 cup ,Cornstarch,7 tsp ,Water,1/2 cup ,Milk,1 qt ,, ,, ,, ,, ,, ,,,,,,,,,,,"Shift the cocoa and sugar together into a medium-sized saucepan. Dissolve the cornstarch in the water, and stir into the cocoa and sugar until it is a smooth paste. Begin heating the mixture, stirring it with a whisk, and gradually pour in the milk. Continue stirring with the whisk as you bring the liquid to a simmer. Allow the chocolate to simmer for about 10 minutes, stirring often, until it is thick, glossy and completely smooth. Serve steaming hot in coffee mug. Serves six."
Champagne Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ehh5df1504366811.jpg,Champagne flute,Champagne,Chilled ,Sugar,1 piece ,Bitters,2 dashes ,Lemon peel,1 twist of ,Cognac,1 dash,, ,, ,, ,, ,,,,,,,,,,,,,Add dash of Angostura bitter onto sugar cube and drop it into champagne flute. Add cognac followed by gently pouring chilled champagne. Garnish with orange slice and maraschino cherry.
Cherry Electric Lemonade,,Cocktail,http://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,Pint glass,Gin,1 oz,Tequila,1 oz,Vodka,1 oz,White rum,1 oz,Triple Sec,1 oz,Cherry Grenadine,1 oz,Sweet and sour,1 oz,Club soda,3 oz,,,,,,,,,,,,,,,Now stir vigorously and then pour over a large cup of ice. Now drink it with a straw and stir occasionally.
Cherry Rum,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,Cocktail glass,Light rum,1 1/4 oz ,Cherry brandy,1 1/2 tsp ,Light cream,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Chicago Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,Highball glass,Light rum,1 oz ,Port,1 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg white,1,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Chocolate Beverage,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,Coffee mug,Milk,6 cups ,Chocolate,3 oz Mexican ,Cinnamon,1 tsp powdered ,Egg,3,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight."
Chocolate Black Russian,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,Champagne flute,Kahlua,1 oz ,Vodka,1/2 oz ,Chocolate ice-cream,5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Combine all ingredients in an electric blender and blend at a low speed for a short length of time. Pour into a chilled champagne flute and serve.
Chocolate Drink,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/q7w4xu1487603180.jpg,Coffee mug,Chocolate,125 gr,Milk,3/4 L ,Water,,,,,,,,,,,,,,,,,,,,,,,,,,"Melt the bar in a small amount of boiling water. Add milk. Cook over low heat, whipping gently (with a whisk, i would assume) until heated well. Don't let it boil! Serve in coffee mug."
Chocolate Milk,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,Shot Glass,Chocolate liqueur,1/2 shot ,Milk,1/2 shot ,Amaretto,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Put the milk in the bottom, pour the Liquer on top and add the dash of amaretto. Do not mix. SLAM IT!"
Chocolate Monkey,Optional alcohol,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/tyvpxt1468875212.jpg,Parfait glass,Banana liqueur,1 shot ,Creme de Cacao,2 shots ,Chocolate ice-cream,2 scoops ,Chocolate syrup,1 oz ,Chocolate milk,4 oz ,Whipped cream,1,Cherry,1,Banana,1 piece ,, ,, ,, ,, ,, ,,,,,"blend liqeuors with ice-cream, milk and syrup. pour into parfait glass, top with whipped cream and garnish with banana and cherry."
Citrus Coke,Alcoholic,Soft Drink / Soda,http://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,Highball Glass,Bacardi Limon,1 part ,Coca-Cola,2 parts ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!
City Slicker,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,Cocktail glass,Brandy,2 oz ,Triple sec,1/2 oz ,Lemon juice,1 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Classic Old-Fashioned,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/anhof61504366173.jpg,Old-fashioned glass,Bitters,3 dashes ,Water,1 tsp ,Sugar,1,Bourbon,3 oz ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,"In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick."
Clove Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,Cocktail glass,Sweet Vermouth,1 oz ,Sloe gin,1/2 oz ,Wine,1/2 oz Muscatel ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Clover Club,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,Cocktail glass,Gin,1 1/2 oz ,Grenadine,2 tsp ,Lemon,Juice of 1/2 ,Egg white,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Dry shake ingredients to emulsify, add ice, shake and served straight up."
Coffee Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,Collins Glass,Coffee,10 tblsp instant ,Vanilla extract,4 tblsp ,Sugar,2 1/2 cups ,Vodka,1 qt ,Water,2 1/2 cups ,, ,, ,, ,, ,, ,,,,,,,,,,,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks."
